2025-08-07 09:48:34.944 | DEBUG    | 56156 | 53288 | market_structure.bos_choc_detector:_check_structure_break:148 - Error checking structure break: max() arg is an empty sequence
2025-08-07 09:48:34.947 | DEBUG    | 56156 | 53288 | market_structure.bos_choc_detector:_check_structure_break:148 - Error checking structure break: min() arg is an empty sequence
2025-08-07 09:48:34.948 | DEBUG    | 56156 | 53288 | market_structure.bos_choc_detector:_check_structure_break:148 - Error checking structure break: max() arg is an empty sequence
2025-08-07 09:48:34.949 | DEBUG    | 56156 | 53288 | market_structure.bos_choc_detector:_check_structure_break:148 - Error checking structure break: min() arg is an empty sequence
2025-08-07 09:48:34.951 | DEBUG    | 56156 | 53288 | market_structure.bos_choc_detector:_check_structure_break:148 - Error checking structure break: min() arg is an empty sequence
2025-08-07 09:48:34.953 | DEBUG    | 56156 | 53288 | market_structure.bos_choc_detector:_check_structure_break:148 - Error checking structure break: min() arg is an empty sequence
2025-08-07 09:48:34.953 | DEBUG    | 56156 | 53288 | market_structure.bos_choc_detector:_check_structure_break:148 - Error checking structure break: max() arg is an empty sequence
2025-08-07 09:48:34.954 | DEBUG    | 56156 | 53288 | market_structure.bos_choc_detector:_check_structure_break:148 - Error checking structure break: max() arg is an empty sequence
2025-08-07 09:48:34.954 | DEBUG    | 56156 | 53288 | market_structure.bos_choc_detector:_check_structure_break:148 - Error checking structure break: min() arg is an empty sequence
2025-08-07 09:48:34.957 | DEBUG    | 56156 | 53288 | market_structure.bos_choc_detector:_check_structure_break:148 - Error checking structure break: min() arg is an empty sequence
2025-08-07 09:48:34.959 | DEBUG    | 56156 | 53288 | market_structure.bos_choc_detector:_check_structure_break:148 - Error checking structure break: min() arg is an empty sequence
2025-08-07 09:48:34.960 | DEBUG    | 56156 | 53288 | market_structure.bos_choc_detector:_check_structure_break:148 - Error checking structure break: max() arg is an empty sequence
2025-08-07 09:48:34.963 | DEBUG    | 56156 | 53288 | market_structure.bos_choc_detector:_check_structure_break:148 - Error checking structure break: max() arg is an empty sequence
2025-08-07 09:48:34.970 | DEBUG    | 56156 | 53288 | market_structure.bos_choc_detector:_check_structure_break:148 - Error checking structure break: max() arg is an empty sequence
