2025-08-06 22:24:08 | INFO     | __main__:_test_performance:414 | Testing processing performance...
2025-08-06 22:24:08 | INFO     | data_service.data_preprocessor:preprocess_data:36 | Preprocessing 1000 candles for EURUSD
2025-08-06 22:24:08 | INFO     | data_service.data_preprocessor:preprocess_data:47 | Preprocessing completed - 1000 candles output
2025-08-06 22:24:08 | INFO     | data_service.data_preprocessor:preprocess_data:36 | Preprocessing 1000 candles for EURUSD
2025-08-06 22:24:08 | INFO     | data_service.data_preprocessor:preprocess_data:47 | Preprocessing completed - 1000 candles output
2025-08-06 22:24:08 | INFO     | data_service.data_preprocessor:preprocess_data:36 | Preprocessing 1000 candles for EURUSD
2025-08-06 22:24:08 | INFO     | data_service.data_preprocessor:preprocess_data:47 | Preprocessing completed - 1000 candles output
2025-08-06 22:24:08 | SUCCESS  | __main__:_test_performance:453 | Performance tests completed
2025-08-06 22:24:08 | INFO     | __main__:_test_error_handling:458 | Testing error handling...
2025-08-06 22:24:08 | ERROR    | data_service.data_fetcher:ensure_symbol_selected:133 | Failed to select symbol INVALID_SYMBOL
2025-08-06 22:24:08 | WARNING  | data_service.data_fetcher:fetch_data_with_retry:186 | Attempt 1 failed: Failed to select symbol INVALID_SYMBOL
2025-08-06 22:24:09 | ERROR    | data_service.data_fetcher:ensure_symbol_selected:133 | Failed to select symbol INVALID_SYMBOL
2025-08-06 22:24:09 | WARNING  | data_service.data_fetcher:fetch_data_with_retry:186 | Attempt 2 failed: Failed to select symbol INVALID_SYMBOL
2025-08-06 22:24:11 | ERROR    | data_service.data_fetcher:ensure_symbol_selected:133 | Failed to select symbol INVALID_SYMBOL
2025-08-06 22:24:11 | WARNING  | data_service.data_fetcher:fetch_data_with_retry:186 | Attempt 3 failed: Failed to select symbol INVALID_SYMBOL
2025-08-06 22:24:11 | ERROR    | data_service.data_fetcher:fetch_data_with_retry:193 | Failed to fetch data after 3 attempts: Failed to select symbol INVALID_SYMBOL
2025-08-06 22:24:11 | ERROR    | data_service.data_fetcher:get_symbol_data:253 | Error in get_symbol_data for INVALID_SYMBOL: Failed to fetch data after 3 attempts: Failed to select symbol INVALID_SYMBOL
2025-08-06 22:24:11 | WARNING  | data_service.data_fetcher:fetch_data_with_retry:186 | Attempt 1 failed: Invalid timeframe: INVALID_TF
2025-08-06 22:24:12 | WARNING  | data_service.data_fetcher:fetch_data_with_retry:186 | Attempt 2 failed: Invalid timeframe: INVALID_TF
2025-08-06 22:24:14 | WARNING  | data_service.data_fetcher:fetch_data_with_retry:186 | Attempt 3 failed: Invalid timeframe: INVALID_TF
2025-08-06 22:24:14 | ERROR    | data_service.data_fetcher:fetch_data_with_retry:193 | Failed to fetch data after 3 attempts: Invalid timeframe: INVALID_TF
2025-08-06 22:24:14 | ERROR    | data_service.data_fetcher:get_symbol_data:253 | Error in get_symbol_data for EURUSD: Failed to fetch data after 3 attempts: Invalid timeframe: INVALID_TF
2025-08-06 22:24:14 | WARNING  | data_service.data_preprocessor:preprocess_data:30 | Empty DataFrame passed to preprocessor
